"district","CDU","SPD","AfD","Die.Linke","Grune","FDP","unemploymentrate","migrantfraction","catholicfraction"
"Hamburg-Eimsbüttel",28.7175309982804,31.5982053967392,5.67148933969461,10.4269293924466,15.0071758271595,6.81509638881347,5.6,28.3,9.2
"Hamburg-Nord",33.5390946502058,30.8184099850766,5.46624157735269,7.47524080857414,13.5683760683761,8.41529869307647,4.28,28.3,8.7
"Hamburg-Wandsbek",29.7555660990739,34.5803972563422,9.49150953895537,9.16524622044154,7.08407284399693,7.02725499499183,7.17,28.3,9.2
"Hamburg-Bergedorf – Harburg",28.1017006492915,34.7585650527631,10.8226093971608,10.6541058904662,7.76287197637047,5.22556048560238,8.04,28.3,11.3
"Aurich – Emden",27.61721074632,49.5672935592345,12.0879869712815,6.74046934488173,7.01794638311907,4.93435911408106,7.72,8.8,6.2
"Unterems",50.007151561615,28.0106644086803,7.65903642719424,4.42023720299565,4.7228912905422,4.43854520073003,4.98,13.4,37.7
"Friesland – Wilhelmshaven – Wittmund",32.4243836374492,39.6918551311363,8.29267937497269,5.91678923531725,5.49156096637493,5.87747018305203,8.28,9.9,9
"Oldenburg – Ammerland",30.1999896646168,36.3070527506474,6.65541258275484,8.08456640196602,11.3827020136772,6.1064888980759,6.26,13.9,11.9
"Delmenhorst – Wesermarsch – Oldenburg-Land",34.1138217181444,32.8875098081176,8.988991131084,6.10005468768576,7.68778086882089,9.04070666000903,6.7,15.1,11.1
"Cuxhaven – Stade II",42.7158029795424,30.7071067075344,8.45462969563048,5.78943616793784,6.05246275572029,4.96614156390334,5.87,11,6.3
"Stade I – Rotenburg II",44.4108821235475,28.2112972094069,8.30171718640528,5.26127936335876,6.99300699300699,5.78872922918292,4.98,13.1,5.6
"Mittelems",53.6435150191764,26.3704823493183,5.01049802637104,3.81568265166149,4.98306318412139,5.64597855603147,3.22,18.8,49.2
"Cloppenburg – Vechta",57.7024142908252,20.3536929890574,7.79555632317201,4.08221172232571,4.34745062238616,5.15488718094228,4.47,23.5,62.5
"Diepholz – Nienburg I",44.5886944616621,27.3143386484848,8.14369299721414,5.28427319106619,7.66417142896065,7.0048292726121,4.39,13.4,9.8
"Osterholz – Verden",39.2468371112283,31.9623089088034,8.56088560885609,7.0578545071165,6.6855561412757,5.45071164997364,4.49,14.3,6.6
